,date,ticker,value
536,2021-05-01,VCR,8
537,2021-05-01,VOT,4662
538,2021-05-01,VNQ,9254
539,2021-05-01,VOO,46863
540,2021-05-01,VXF,19402
541,2021-05-01,VUG,4314
542,2021-05-01,VOE,794
543,2021-05-01,VB,53
544,2021-05-01,VBK,5524
545,2021-05-01,VBR,508
546,2021-05-01,VTI,39555
547,2021-05-01,VTV,3295
548,2021-05-01,VGT,718
549,2021-05-01,VEU,900
550,2021-05-01,VWO,53209
551,2021-05-01,VGK,21
552,2021-05-01,VNQI,830
553,2021-05-01,VT,581
554,2021-05-01,VEA,15617
555,2021-05-01,VTIP,37032
556,2021-05-01,VTEB,1600
557,2021-05-01,VCIT,50822
558,2021-05-01,VCLT,37618
559,2021-05-01,VGLT,22143
560,2021-05-01,VMBS,527
561,2021-05-01,VONG,1717
562,2021-05-01,VGSH,69
563,2021-05-01,VCSH,10614
564,2021-05-01,VIG,16531
565,2021-05-01,VXUS,7390
566,2021-05-01,VYM,115113
567,2021-05-01,VIGI,125
568,2021-05-01,MGC,130
569,2021-05-01,MGK,9359
570,2021-05-01,VOX,307
571,2021-05-01,VDC,329
572,2021-05-01,VDE,185
573,2021-05-01,VHT,140
574,2021-05-01,VIS,222
575,2021-05-01,VPU,1121
576,2021-05-01,VEEV,1320
577,2021-05-01,VZ,101163
578,2021-05-01,VTRS,14252
579,2021-05-01,VSDA,54401
580,2021-05-01,CFO,2076
581,2021-05-01,CFA,31080
582,2021-05-01,CSF,15274
583,2021-05-01,CDC,2333
584,2021-05-01,VLGEA,66113
585,2021-05-01,V,4584
586,2021-05-01,WBA,24503
587,2021-05-01,WMT,8376
588,2021-05-01,WM,23914
589,2021-05-01,WSM,3046
590,2021-05-01,USDU,56
591,2021-05-01,DEM,555
592,2021-05-01,DGRE,3065
593,2021-05-01,DNL,5540
594,2021-05-01,HYZD,113
595,2021-05-01,DWM,2913
596,2021-05-01,WTMF,60
597,2021-05-01,DHS,2958
598,2021-05-01,DLN,798
599,2021-05-01,DON,106057
600,2021-05-01,EZM,141424
601,2021-05-01,DES,5275
602,2021-05-01,DTD,19
603,2021-05-01,DGRW,3714
604,2021-05-01,DGRS,246
605,2021-05-01,SHAG,15391
606,2021-05-01,YETI,15632
607,2021-05-01,YUM,3175
608,2021-05-01,Z,3052
609,2021-05-01,ZBH,1412
610,2021-05-01,ZS,4837
611,2024-10-01,MMM,2284
612,2024-10-01,ABT,84923
613,2024-10-01,ABBV,40640
614,2024-10-01,ADBE,12163
615,2024-10-01,AMD,4197
616,2024-10-01,AFL,13129
617,2024-10-01,AEM,15653
618,2024-10-01,JANT,13425
619,2024-10-01,JULT,15142
620,2024-10-01,BABA,3024
621,2024-10-01,ALCO,29167
622,2024-10-01,LNT,61774
623,2024-10-01,GOOGL,8217
624,2024-10-01,GOOG,11514
625,2024-10-01,SDOG,34043
626,2024-10-01,AMZN,159695
627,2024-10-01,AMCX,37343
628,2024-10-01,QGRO,2590
629,2024-10-01,AXP,1211
630,2024-10-01,AMGN,9350
631,2024-10-01,SWAN,17176
632,2024-10-01,YYY,10827
633,2024-10-01,AAPL,211256
634,2024-10-01,AGX,19738
635,2024-10-01,ANET,827
636,2024-10-01,ARKK,24580
637,2024-10-01,AZN,33606
638,2024-10-01,T,172634
639,2024-10-01,OZK,69642
640,2024-10-01,MCI,10322
641,2024-10-01,BAX,16704
642,2024-10-01,BCE,47523
643,2024-10-01,BRK/B,4601
644,2024-10-01,BIIB,9115
645,2024-10-01,CII,28690
646,2024-10-01,BA,1924
647,2024-10-01,AVGO,15929
648,2024-10-01,BKE,7375
649,2024-10-01,CDNS,27426
650,2024-10-01,SYLD,10304
651,2024-10-01,COF,1504
652,2024-10-01,CAH,68032
653,2024-10-01,CARR,2869
654,2024-10-01,CASY,1233
655,2024-10-01,CAT,11086
656,2024-10-01,CVX,7460
657,2024-10-01,CMG,7419
658,2024-10-01,CHDN,4894
659,2024-10-01,CTAS,15996
660,2024-10-01,CSCO,59676
661,2024-10-01,CLSK,43084
662,2024-10-01,CLX,27644
663,2024-10-01,KO,90921
664,2024-10-01,CL,59669
665,2024-10-01,ED,18665
666,2024-10-01,CPS,37177
667,2024-10-01,GLW,72109
668,2024-10-01,COST,24775
669,2024-10-01,CRWD,865
670,2024-10-01,CSX,14312
671,2024-10-01,CMI,6919
672,2024-10-01,CVS,7040
673,2024-10-01,DAKT,150117
674,2024-10-01,DHR,49429
675,2024-10-01,DBEF,111392
676,2024-10-01,DE,6447
677,2024-10-01,DIS,9517
678,2024-10-01,DLTR,9518
679,2024-10-01,DPZ,1607
680,2024-10-01,DOW,49387
681,2024-10-01,DUK,47822
682,2024-10-01,FDIV,7335
683,2024-10-01,ELV,1618
684,2024-10-01,LLY,13383
685,2024-10-01,ZIG,8058
686,2024-10-01,EXR,4856
687,2024-10-01,XOM,9447
688,2024-10-01,ONEQ,44810
689,2024-10-01,FTEC,4155
690,2024-10-01,FR,13503
691,2024-10-01,SKYY,33071
692,2024-10-01,FTHI,18852
693,2024-10-01,FTCS,5450
694,2024-10-01,FDN,30841
695,2024-10-01,FV,4723
696,2024-10-01,RDVY,8976
697,2024-10-01,SDVY,26751
698,2024-10-01,FPX,2395
699,2024-10-01,BUFR,556300
700,2024-10-01,FJUN,6424
701,2024-10-01,GDEC,6749
702,2024-10-01,CRPT,45660
703,2024-10-01,FDL,6113
704,2024-10-01,FVD,9347
705,2024-10-01,FTC,10618
706,2024-10-01,IQDY,35970
707,2024-10-01,FONR,379332
708,2024-10-01,FTNT,17252
709,2024-10-01,INCE,5239
710,2024-10-01,IT,27803
711,2024-10-01,GE,6406
712,2024-10-01,GEV,1214
713,2024-10-01,GD,8764
714,2024-10-01,GIS,16126
715,2024-10-01,GILD,94314
716,2024-10-01,GNL,87638
717,2024-10-01,URA,24867
718,2024-10-01,GS,2020
719,2024-10-01,GBTC,4985
720,2024-10-01,GSK,15556
721,2024-10-01,HR,41334
722,2024-10-01,HP,40744
723,2024-10-01,HSY,3929
724,2024-10-01,HD,17784
725,2024-10-01,HON,8465
726,2024-10-01,HRL,82851
727,2024-10-01,HUM,2902
728,2024-10-01,ITW,4099
729,2024-10-01,IRT,29075
730,2024-10-01,IR,4565
731,2024-10-01,JAJL,36010
732,2024-10-01,ZSEP,42023
733,2024-10-01,UAPR,6982
734,2024-10-01,UJUL,7669
735,2024-10-01,UJUN,7231
736,2024-10-01,UJAN,10015
737,2024-10-01,UMAY,10974
738,2024-10-01,PJUL,8726
739,2024-10-01,UDEC,9987
740,2024-10-01,UOCT,19527
741,2024-10-01,INTC,42424
742,2024-10-01,IBM,24249
743,2024-10-01,INTU,1357
744,2024-10-01,ISRG,3230
745,2024-10-01,GTO,30391
746,2024-10-01,PCEF,10882
747,2024-10-01,QQQM,7193
748,2024-10-01,PGX,28700
749,2024-10-01,SPMO,560549
750,2024-10-01,RWL,4134
751,2024-10-01,RDIV,6550
752,2024-10-01,SPHD,4175
753,2024-10-01,SPLV,3739
754,2024-10-01,BAB,115620
755,2024-10-01,OMFL,189194
756,2024-10-01,SPGP,66097
757,2024-10-01,XLG,13206
758,2024-10-01,XMMO,350410
759,2024-10-01,XMHQ,6535
760,2024-10-01,XMVM,31293
761,2024-10-01,RSP,146524
762,2024-10-01,RPV,10290
763,2024-10-01,SPHQ,31793
764,2024-10-01,QQQ,72482
765,2024-10-01,IAU,5300
766,2024-10-01,SHY,48033
767,2024-10-01,IEI,14181
768,2024-10-01,IEF,179739
769,2024-10-01,ISTB,5296
770,2024-10-01,DGRO,9743
771,2024-10-01,HDV,5261
772,2024-10-01,IEFA,155762
773,2024-10-01,IJH,76782
774,2024-10-01,IJR,115530
775,2024-10-01,ITOT,7634
776,2024-10-01,IVV,12846
777,2024-10-01,AGG,98752
778,2024-10-01,IYY,23823
779,2024-10-01,IGV,14823
780,2024-10-01,IGM,2182
781,2024-10-01,FALN,9285
782,2024-10-01,IXN,27163
783,2024-10-01,IBTE,71863
784,2024-10-01,IBTF,59798
785,2024-10-01,IBTG,12776
786,2024-10-01,IBB,1573
787,2024-10-01,SOXX,9969
788,2024-10-01,IGIB,40720
789,2024-10-01,ILCG,78352
790,2024-10-01,ILCB,13243
791,2024-10-01,IMCG,16580
792,2024-10-01,EFA,24822
793,2024-10-01,SUSA,1789
794,2024-10-01,USMV,122178
795,2024-10-01,MTUM,1706
796,2024-10-01,QUAL,51400
797,2024-10-01,MUB,21644
798,2024-10-01,PFF,48035
799,2024-10-01,IWF,4243
800,2024-10-01,IWD,2964
801,2024-10-01,IWS,352376
802,2024-10-01,IWY,11858
803,2024-10-01,IWM,3614
804,2024-10-01,IVW,36895
805,2024-10-01,IJK,22112
806,2024-10-01,IJT,5935
807,2024-10-01,DVY,2338
808,2024-10-01,TIP,37824
809,2024-10-01,LRGF,9915
810,2024-10-01,IYF,2094
811,2024-10-01,IHI,5130
812,2024-10-01,IYW,2225
813,2024-10-01,ITA,2301
814,2024-10-01,IYK,27153
815,2024-10-01,IYH,24391
816,2024-10-01,IFRA,44480
817,2024-10-01,IAT,6900
818,2024-10-01,SVAL,2020107
